Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
674.0000, 18.2305, octopus_teddy, Juguetes, Select, 5.5200, 1.4920, 7.9590, 354.2004, 85.6347, 358.4239, 0.1823, 0.1823, 0.1823, Select, Normal
676.0000, 18.2806, octopus_teddy, Juguetes, Select, 5.5187, 1.4894, 7.9690, 8.3063, 81.7082, 351.4682, 0.1823, 0.1823, 0.1823, Select, Normal
678.0000, 18.3375, octopus_teddy, Juguetes, Select, 5.5146, 1.5066, 7.9810, 11.5278, 75.4606, 343.9755, 0.1823, 0.1823, 0.1823, Select, Normal
680.0000, 18.3896, octopus_teddy, Juguetes, Select, 5.5060, 1.5192, 7.9850, 7.5670, 71.9955, 344.3251, 0.1823, 0.1823, 0.1823, Select, Normal
682.0000, 18.4456, octopus_teddy, Juguetes, Select, 5.4940, 1.5454, 7.9781, 6.0190, 69.7538, 342.0569, 0.1823, 0.1823, 0.1823, Select, Normal
684.0000, 18.5002, octopus_teddy, Juguetes, Select, 5.4869, 1.5740, 7.9650, 6.2690, 70.6227, 340.5532, 0.1823, 0.1823, 0.1823, Select, Normal
686.0000, 18.5567, octopus_teddy, Juguetes, Select, 5.4846, 1.6262, 7.9479, 2.0214, 72.5330, 342.0128, 0.1823, 0.1823, 0.1823, Select, Normal
688.0000, 18.6121, octopus_teddy, Juguetes, Select, 5.4777, 1.6796, 7.9365, 0.8291, 72.0682, 340.6230, 0.1823, 0.1823, 0.1823, Select, Normal
690.0000, 18.6678, octopus_teddy, Juguetes, Select, 5.4794, 1.7097, 7.9222, 0.6429, 73.3419, 339.7429, 0.1823, 0.1823, 0.1823, Select, Normal
692.0000, 18.7243, octopus_teddy, Juguetes, Select, 5.4762, 1.7589, 7.9085, 354.1039, 72.5111, 336.3051, 0.1823, 0.1823, 0.1823, Select, Normal
694.0000, 18.7800, octopus_teddy, Juguetes, Select, 5.4791, 1.8212, 7.8935, 348.7782, 71.9404, 327.4633, 0.1823, 0.1823, 0.1823, Select, Normal
696.0000, 18.8356, octopus_teddy, Juguetes, Select, 5.4734, 1.8999, 7.8645, 345.7499, 68.3953, 308.0314, 0.1823, 0.1823, 0.1823, Select, Normal
698.0000, 18.8911, octopus_teddy, Juguetes, Select, 5.4939, 1.9703, 7.8156, 350.3766, 66.7905, 289.4940, 0.1823, 0.1823, 0.1823, Select, Normal
700.0000, 18.9476, octopus_teddy, Juguetes, Select, 5.4853, 2.0190, 7.7848, 343.4789, 46.4467, 271.7510, 0.1823, 0.1823, 0.1823, Select, Normal
702.0000, 19.0019, octopus_teddy, Juguetes, Select, 5.4690, 2.0489, 7.7516, 332.3287, 33.0057, 262.7896, 0.1823, 0.1823, 0.1823, Select, Normal
704.0000, 19.0586, octopus_teddy, Juguetes, Select, 5.4131, 2.0492, 7.7837, 333.6016, 30.7919, 283.9235, 0.1823, 0.1823, 0.1823, Select, Normal
706.0000, 19.1137, octopus_teddy, Juguetes, Select, 5.4225, 2.0009, 7.8358, 339.3394, 52.9848, 312.4186, 0.1823, 0.1823, 0.1823, Select, Normal
708.0000, 19.1689, octopus_teddy, Juguetes, Select, 5.4663, 1.9614, 7.8357, 330.6396, 69.8668, 344.6189, 0.1823, 0.1823, 0.1823, Select, Normal
710.0000, 19.2241, octopus_teddy, Juguetes, Select, 5.5067, 1.9636, 7.8105, 319.1183, 65.7472, 12.8133, 0.1823, 0.1823, 0.1823, Select, Normal
712.0000, 19.2852, octopus_teddy, Juguetes, Select, 5.5434, 2.0282, 7.7443, 317.7787, 77.3142, 0.3035, 0.1823, 0.1823, 0.1823, Select, Normal
714.0000, 19.3361, octopus_teddy, Juguetes, Select, 5.5500, 2.0785, 7.7108, 319.9900, 87.2159, 341.5043, 0.1823, 0.1823, 0.1823, Select, Normal
716.0000, 19.3911, octopus_teddy, Juguetes, Select, 5.5169, 2.1124, 7.6953, 315.3285, 87.1673, 325.8452, 0.1823, 0.1823, 0.1823, Select, Normal
718.0000, 19.4491, octopus_teddy, Juguetes, Select, 5.5022, 2.0890, 7.7175, 319.5399, 78.2515, 328.9129, 0.1823, 0.1823, 0.1823, Select, Normal
720.0000, 19.5035, octopus_teddy, Juguetes, Select, 5.4969, 2.0294, 7.7603, 326.3836, 73.6117, 337.1603, 0.1823, 0.1823, 0.1823, Select, Normal
722.0000, 19.5582, octopus_teddy, Juguetes, Select, 5.4838, 1.9236, 7.8195, 334.6773, 65.5865, 353.9518, 0.1823, 0.1823, 0.1823, Select, Normal
724.0000, 19.6139, octopus_teddy, Juguetes, Select, 5.4479, 1.8875, 7.8543, 336.9324, 56.0552, 357.2138, 0.1823, 0.1823, 0.1823, Select, Normal
