Frame, Timestamp, Shelf, AOI, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z
596, 16.0396, ShelfToys (UnityEngine.Transform), Top, -0.1130, 1.2522, -0.5917, 15.6002, 250.8078, 194.1964, -0.4600, 1.0174, -0.8856, 333.4898, 11.1085, 245.7633, -3.3141, 36.7308, -17.3553, -13.4938, 29.8435, -25.9780
597, 16.0613, ShelfToys (UnityEngine.Transform), Top, -0.1131, 1.2527, -0.5926, 15.3218, 250.1912, 193.3712, -0.4609, 1.0177, -0.8855, 333.2691, 11.3632, 245.7816, -0.0036, 0.0243, -0.0410, -0.0384, 0.0142, 0.0075
598, 16.0871, ShelfToys (UnityEngine.Transform), Top, -0.1129, 1.2537, -0.5947, 15.3527, 250.1098, 192.3458, -0.4617, 1.0178, -0.8856, 333.5047, 11.1405, 245.9973, 0.0053, 0.0362, -0.0827, -0.0341, 0.0038, -0.0060
599, 16.1139, ShelfToys (UnityEngine.Transform), Top, -0.1120, 1.2541, -0.5981, 15.4232, 250.8107, 191.5139, -0.4625, 1.0176, -0.8860, 333.7506, 10.1410, 246.6871, 0.0348, 0.0150, -0.1261, -0.0284, -0.0079, -0.0141
600, 16.1420, ShelfToys (UnityEngine.Transform), Top, -0.1109, 1.2529, -0.6024, 15.4405, 251.1779, 189.9329, -0.4630, 1.0170, -0.8863, 334.3033, 10.6623, 246.8654, 0.0395, -0.0410, -0.1547, -0.0187, -0.0213, -0.0113
601, 16.1716, ShelfToys (UnityEngine.Transform), Top, -0.1099, 1.2519, -0.6065, 15.4452, 251.2495, 188.8026, -0.4636, 1.0163, -0.8866, 334.8116, 11.1751, 247.0514, 0.0336, -0.0357, -0.1377, -0.0192, -0.0220, -0.0114
602, 16.1974, ShelfToys (UnityEngine.Transform), Top, -0.1087, 1.2472, -0.6128, 14.2318, 250.5809, 186.9813, -0.4637, 1.0158, -0.8871, 335.6053, 12.3462, 247.2014, 0.0445, -0.1806, -0.2451, -0.0060, -0.0216, -0.0178
603, 16.2249, ShelfToys (UnityEngine.Transform), Top, -0.1074, 1.2380, -0.6234, 13.4176, 248.9727, 186.4286, -0.4637, 1.0152, -0.8878, 335.5233, 13.3938, 247.8422, 0.0502, -0.3328, -0.3849, 0.0017, -0.0232, -0.0252
604, 16.2556, ShelfToys (UnityEngine.Transform), Top, -0.1039, 1.2257, -0.6397, 14.7020, 246.0858, 186.6438, -0.4633, 1.0141, -0.8892, 336.3178, 13.9049, 248.2365, 0.1115, -0.4005, -0.5320, 0.0137, -0.0357, -0.0451
605, 16.2809, ShelfToys (UnityEngine.Transform), Top, -0.1001, 1.2130, -0.6570, 17.4360, 243.1814, 185.9228, -0.4622, 1.0127, -0.8906, 337.5301, 15.7033, 248.7930, 0.1524, -0.5033, -0.6827, 0.0414, -0.0528, -0.0565
606, 16.3084, ShelfToys (UnityEngine.Transform), Top, -0.0963, 1.2038, -0.6789, 22.3413, 241.4413, 184.3639, -0.4609, 1.0108, -0.8912, 339.3488, 17.4000, 249.7110, 0.1390, -0.3339, -0.7980, 0.0479, -0.0705, -0.0218
607, 16.3376, ShelfToys (UnityEngine.Transform), Top, -0.0934, 1.1964, -0.6947, 25.6608, 239.7469, 182.9895, -0.4596, 1.0089, -0.8918, 340.4861, 18.6222, 250.3561, 0.0967, -0.2565, -0.5413, 0.0444, -0.0653, -0.0198
608, 16.3648, ShelfToys (UnityEngine.Transform), Top, -0.0948, 1.1890, -0.7155, 32.6380, 238.2639, 178.8295, -0.4583, 1.0067, -0.8920, 340.7828, 21.6863, 251.1043, -0.0497, -0.2721, -0.7617, 0.0470, -0.0792, -0.0076
662, 17.8919, ShelfToys (UnityEngine.Transform), Top, -0.2434, 1.2072, -0.6512, 36.1527, 43.1180, 348.8554, -0.4450, 0.9894, -0.9431, 335.4989, 8.8678, 246.1841, -5.4995, 0.6737, 2.3783, 0.4927, -0.6415, -1.8919
663, 17.9194, ShelfToys (UnityEngine.Transform), Top, -0.2658, 1.2041, -0.6419, 34.2387, 43.8575, 349.4650, -0.4459, 0.9881, -0.9440, 337.0641, 6.2390, 247.3825, -0.8144, -0.1116, 0.3375, -0.0304, -0.0465, -0.0335
664, 17.9485, ShelfToys (UnityEngine.Transform), Top, -0.2856, 1.2008, -0.6345, 29.7766, 43.9057, 349.5216, -0.4471, 0.9867, -0.9453, 337.1815, 7.0231, 247.1419, -0.6828, -0.1120, 0.2542, -0.0408, -0.0488, -0.0432
665, 17.9760, ShelfToys (UnityEngine.Transform), Top, -0.3032, 1.1949, -0.6285, 24.3522, 43.7208, 347.7301, -0.4501, 0.9844, -0.9478, 337.9844, 7.4635, 247.3409, -0.6408, -0.2167, 0.2181, -0.1120, -0.0840, -0.0906
666, 18.0052, ShelfToys (UnityEngine.Transform), Top, -0.3167, 1.1866, -0.6215, 22.5411, 46.4202, 346.4886, -0.4557, 0.9807, -0.9513, 338.7004, 7.8273, 248.2008, -0.4619, -0.2822, 0.2411, -0.1902, -0.1261, -0.1220
667, 18.0330, ShelfToys (UnityEngine.Transform), Top, -0.3333, 1.1807, -0.6138, 20.2797, 47.3529, 345.7866, -0.4611, 0.9771, -0.9546, 339.2251, 7.8778, 248.8253, -0.5938, -0.2138, 0.2764, -0.1930, -0.1289, -0.1167
668, 18.0717, ShelfToys (UnityEngine.Transform), Top, -0.3448, 1.1727, -0.6073, 17.4449, 46.3334, 341.8218, -0.4694, 0.9739, -0.9574, 339.9023, 9.4215, 249.7073, -0.2975, -0.2064, 0.1679, -0.2145, -0.0821, -0.0716
669, 18.0923, ShelfToys (UnityEngine.Transform), Top, -0.3546, 1.1679, -0.6023, 15.0678, 48.0755, 341.9997, -0.4786, 0.9704, -0.9600, 340.9336, 8.9807, 252.5533, -0.4785, -0.2332, 0.2446, -0.4515, -0.1736, -0.1305
670, 18.1210, ShelfToys (UnityEngine.Transform), Top, -0.3695, 1.1587, -0.5942, 12.2219, 48.9199, 340.1104, -0.4926, 0.9671, -0.9631, 341.1410, 9.0586, 255.1894, -0.5193, -0.3208, 0.2794, -0.4845, -0.1134, -0.1053
