Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
127, 3.0000, Top, ShelfToys, 5.0767, 1.7208, 10.2125, 0.0896, 0.9944, -0.0172, 4.9418, 1.7451, 10.1976, 0.0896, 0.9944, -0.0172, 5.0459, 1.7264, 10.2091, 5.3973, 1.5758, 6.7900
128, 3.0200, Top, ShelfToys, 5.0801, 1.7218, 10.2153, 0.0937, 0.9937, -0.0119, 4.9457, 1.7473, 10.1982, 0.0937, 0.9937, -0.0119, 5.0494, 1.7276, 10.2114, 5.3973, 1.6250, 7.3111
128, 3.0400, Top, ShelfToys, 5.0801, 1.7218, 10.2153, 0.0937, 0.9937, -0.0119, 4.9457, 1.7473, 10.1982, 0.0937, 0.9937, -0.0119, 5.0494, 1.7276, 10.2114, 5.3973, 1.6250, 7.3111
129, 3.0600, Top, ShelfToys, 5.0832, 1.7230, 10.2180, 0.0987, 0.9929, -0.0029, 4.9492, 1.7500, 10.1995, 0.0987, 0.9929, -0.0029, 5.0526, 1.7292, 10.2138, 5.3973, 1.6800, 7.6366
130, 3.0800, Top, ShelfToys, 5.0853, 1.7259, 10.2205, 0.1017, 0.9922, 0.0095, 4.9517, 1.7539, 10.2010, 0.1017, 0.9922, 0.0095, 5.0549, 1.7323, 10.2161, 5.3973, 1.7420, 7.8790
131, 3.1000, Top, ShelfToys, 5.0864, 1.7278, 10.2222, 0.1013, 0.9918, 0.0214, 4.9529, 1.7560, 10.2023, 0.1013, 0.9918, 0.0214, 5.0559, 1.7342, 10.2176, 5.3973, 1.7951, 8.0142
131, 3.1200, Top, ShelfToys, 5.0864, 1.7278, 10.2222, 0.1013, 0.9918, 0.0214, 4.9529, 1.7560, 10.2023, 0.1013, 0.9918, 0.0214, 5.0559, 1.7342, 10.2176, 5.3973, 1.7951, 8.0142
132, 3.1400, Top, ShelfToys, 5.0879, 1.7287, 10.2242, 0.1011, 0.9914, 0.0294, 4.9545, 1.7569, 10.2038, 0.1011, 0.9914, 0.0294, 5.0575, 1.7351, 10.2195, 5.3973, 1.8260, 8.1200
133, 3.1600, Top, ShelfToys, 5.0877, 1.7293, 10.2251, 0.0985, 0.9914, 0.0332, 4.9543, 1.7570, 10.2043, 0.0985, 0.9914, 0.0332, 5.0573, 1.7356, 10.2204, 5.3973, 1.8396, 8.1772
133, 3.1800, Top, ShelfToys, 5.0877, 1.7293, 10.2251, 0.0985, 0.9914, 0.0332, 4.9543, 1.7570, 10.2043, 0.0985, 0.9914, 0.0332, 5.0573, 1.7356, 10.2204, 5.3973, 1.8396, 8.1772
