Frame,Timestamp,Product/AOI,Section/Shelf,EyeLeftPosition_x,EyeLeftPosition_y,EyeLeftPosition_z,EyeLeftRotation_x,EyeLeftRotation_y,EyeLeftRotation_z,EyeRightPosition_x,EyeRightPosition_y,EyeRightPosition_z,EyeRightRotation_x,EyeRightRotation_y,EyeRightRotation_z,HMD_x,HMD_y,HMD_z,RCHit_x,RCHit_y,RCHit_z,fixation,fixation_start,fixation_end,fixation_duration,Zone
127,3.0, balon, Juguetes,5.0767,1.7208,10.2125,0.0896,0.9944,-0.0172,4.9418,1.7451,10.1976,0.0896,0.9944,-0.0172,5.0459,1.7264,10.2091,5.4141,1.5686,6.6265,0,0,0,0.0,Far
128,3.02, balon, Juguetes,5.0801,1.7218,10.2153,0.0937,0.9937,-0.0119,4.9457,1.7473,10.1982,0.0937,0.9937,-0.0119,5.0494,1.7276,10.2114,5.4725,1.6028,6.6845,0,0,0,0.0,Far
128,3.04, balon, Juguetes,5.0801,1.7218,10.2153,0.0937,0.9937,-0.0119,4.9457,1.7473,10.1982,0.0937,0.9937,-0.0119,5.0494,1.7276,10.2114,5.4725,1.6028,6.6845,0,0,0,0.0,Far
129,3.06, baby_yoda, Juguetes,5.0832,1.723,10.218,0.0987,0.9929,-0.0029,4.9492,1.75,10.1995,0.0987,0.9929,-0.0029,5.0526,1.7292,10.2138,5.4364,1.6744,7.3449,0,0,0,0.0,Far
130,3.08, baby_yoda, Juguetes,5.0853,1.7259,10.2205,0.1017,0.9922,0.0095,4.9517,1.7539,10.201,0.1017,0.9922,0.0095,5.0549,1.7323,10.2161,5.4722,1.7441,7.3681,0,0,0,0.0,Far
355,9.32, baby_yoda, Juguetes,5.158,1.7292,10.0194,0.0438,0.9955,-0.0205,5.0225,1.7408,9.9968,0.0438,0.9955,-0.0205,5.1271,1.7318,10.0142,5.5536,1.604,7.3871,0,0,0,0.0,Far
355,9.34, baby_yoda, Juguetes,5.158,1.7292,10.0194,0.0438,0.9955,-0.0205,5.0225,1.7408,9.9968,0.0438,0.9955,-0.0205,5.1271,1.7318,10.0142,5.5536,1.604,7.3871,0,0,0,0.0,Far
356,9.36, balon, Juguetes,5.1552,1.7284,10.0339,0.0468,0.9965,-0.0186,5.0192,1.7409,10.0152,0.0468,0.9965,-0.0186,5.1242,1.7313,10.0297,5.5705,1.585,6.6922,0,0,0,0.0,Far
356,9.36, baby_yoda, Juguetes,5.1552,1.7284,10.0339,0.0468,0.9965,-0.0186,5.0192,1.7409,10.0152,0.0468,0.9965,-0.0186,5.1242,1.7313,10.0297,5.4779,1.6153,7.3851,0,0,0,0.0,Far
357,9.38, balon, Juguetes,5.1531,1.7285,10.0476,0.0482,0.9972,-0.017,5.0166,1.7415,10.0325,0.0482,0.9972,-0.017,5.122,1.7315,10.0441,5.4803,1.5997,6.6907,0,0,0,0.0,Far
